t_sec,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s
24673.732,-379696.197720621,-87704.667358624,-61527.510306108,0.232553339,-0.861869844,-0.454363392
25273.732,-379556.222201958,-88221.686342838,-61800.055735515,0.234031587,-0.861526439,-0.454121200
25873.732,-379415.359979535,-88738.498687769,-62072.455538634,0.235509017,-0.861181047,-0.453877971
26473.732,-379273.611545679,-89255.103202413,-62344.709093935,0.236985625,-0.860833671,-0.453633707
27073.732,-379130.977394580,-89771.498696666,-62616.815780443,0.238461408,-0.860484313,-0.453388409
27673.732,-378987.458022291,-90287.683981320,-62888.774977742,0.239936362,-0.860132973,-0.453142077
28273.732,-378843.053926727,-90803.657868069,-63160.586065975,0.241410485,-0.859779653,-0.452894712
28873.732,-378697.765607661,-91319.419169511,-63432.248425845,0.242883773,-0.859424355,-0.452646316
29473.732,-378551.593566720,-91834.966699148,-63703.761438616,0.244356224,-0.859067081,-0.452396889
30073.732,-378404.538307387,-92350.299271389,-63975.124486113,0.245827834,-0.858707831,-0.452146432
30673.732,-378256.600334994,-92865.415701553,-64246.336950726,0.247298600,-0.858346607,-0.451894946
31273.732,-378107.780156720,-93380.314805872,-64517.398215408,0.248768519,-0.857983412,-0.451642432
31873.732,-377958.078281592,-93894.995401488,-64788.307663677,0.250237589,-0.857618245,-0.451388891
32473.732,-377807.495220479,-94409.456306463,-65059.064679617,0.251705806,-0.857251110,-0.451134324
33073.732,-377656.031486090,-94923.696339772,-65329.668647880,0.253173166,-0.856882007,-0.450878732
33673.732,-377503.687592973,-95437.714321312,-65600.118953685,0.254639668,-0.856510938,-0.450622116
34273.732,-377350.464057511,-95951.509071903,-65870.414982821,0.256105307,-0.856137904,-0.450364477
34873.732,-377196.361397921,-96465.079413286,-66140.556121646,0.257570081,-0.855762907,-0.450105815
35473.732,-377041.380134247,-96978.424168130,-66410.541757091,0.259033987,-0.855385949,-0.449846133
36073.732,-376885.520788366,-97491.542160030,-66680.371276657,0.260497021,-0.855007031,-0.449585429
36673.732,-376728.783883977,-98004.432213511,-66950.044068420,0.261959181,-0.854626154,-0.449323707
37273.732,-376571.169946601,-98517.093154033,-67219.559521028,0.263420464,-0.854243321,-0.449060966
37873.732,-376412.679503584,-99029.523807985,-67488.917023707,0.264880866,-0.853858533,-0.448797207
38473.732,-376253.313084083,-99541.723002695,-67758.115966255,0.266340385,-0.853471791,-0.448532432
39073.732,-376093.071219077,-100053.689566427,-68027.155739051,0.267799017,-0.853083097,-0.448266641
39673.732,-375931.954441353,-100565.422328388,-68296.035733049,0.269256760,-0.852692452,-0.447999836
40273.732,-375769.963285509,-101076.920118722,-68564.755339784,0.270713610,-0.852299858,-0.447732017
40873.732,-375607.098287953,-101588.181768521,-68833.313951370,0.272169565,-0.851905317,-0.447463186
41473.732,-375443.359986895,-102099.206109821,-69101.710960502,0.273624622,-0.851508830,-0.447193343
