t_sec,phase,orion_x,orion_y,orion_z,moon_x,moon_y,moon_z,orion_vx,orion_vy,orion_vz
3002.253,EarthOrbit,-28498.598886315,-22043.199387490,-11963.440624694,-384153.501,-68902.078,-51591.118,-0.951542661538,-2.851718447790,-1.540687956192
3242.253,EarthOrbit,-28721.079969411,-22723.021850352,-12330.714530710,-384110.512,-69111.561,-51702.080,-0.902835574790,-2.813614054271,-1.520007275506
3482.253,EarthOrbit,-28932.130768347,-23393.802398944,-12693.081386730,-384067.415,-69321.024,-51813.028,-0.856264094913,-2.776363033668,-1.499792498480
3722.253,EarthOrbit,-29132.245578590,-24055.741496652,-13050.650617491,-384024.245,-69530.473,-51923.966,-0.811678627521,-2.739929444967,-1.480023846323
3962.253,EarthOrbit,-29321.884513806,-24709.031179643,-13403.527012469,-383980.787,-69739.871,-52034.865,-0.768943626290,-2.704278999401,-1.460682468282
4202.253,EarthOrbit,-29501.476676925,-25353.855450447,-13751.810946484,-383937.329,-69949.269,-52145.763,-0.727935962789,-2.669379032597,-1.441750422350
4317.499,EarthOrbit,-29584.090239438,-25660.573914827,-13917.498756941,-383916.395,-70049.808,-52199.007,-0.706843230608,-2.653054488216,-1.432959308136
4422.499,EarthOrbit,-29657.408571253,-25938.361600591,-14067.534765395,-383897.224,-70141.390,-52247.503,-0.689745608936,-2.638161783550,-1.424881558032
4527.499,EarthOrbit,-29728.947001036,-26214.592520909,-14216.726408913,-383878.053,-70232.973,-52296.000,-0.672938961474,-2.623401410275,-1.416875945664
4632.499,EarthOrbit,-29798.735654047,-26489.280444631,-14365.081192911,-383858.882,-70324.556,-52344.496,-0.656415206630,-2.608770978260,-1.408941160751
4737.499,EarthOrbit,-29866.803823199,-26762.438892413,-14512.606486759,-383839.711,-70416.139,-52392.993,-0.640166569243,-2.594268149956,-1.401075922174
4842.499,EarthOrbit,-29933.180000459,-27034.081142183,-14659.309526817,-383820.540,-70507.721,-52441.489,-0.624185565993,-2.579890639357,-1.393278977377
4947.499,EarthOrbit,-29997.891906760,-27304.220234498,-14805.197419398,-383801.258,-70599.284,-52489.971,-0.608464991642,-2.565636210954,-1.385549101760
5052.499,EarthOrbit,-30060.966520515,-27572.868977791,-14950.277143673,-383781.930,-70690.837,-52538.445,-0.592997906049,-2.551502678669,-1.377885098081
5157.499,EarthOrbit,-30122.430104800,-27840.039953507,-15094.555554515,-383762.601,-70782.391,-52586.920,-0.577777621912,-2.537487904793,-1.370285795843
5262.499,EarthOrbit,-30182.308233288,-28105.745521124,-15238.039385269,-383743.272,-70873.945,-52635.395,-0.562797693193,-2.523589798921,-1.362750050692
5326.655,EarthOrbit,-30217.259953328,-28267.397517424,-15325.346855769,-383731.462,-70929.885,-52665.014,-0.538531422010,-2.515508227820,-1.358636014756
5599.591,EarthOrbit,-30359.520711991,-28948.953144727,-15695.356570809,-383681.029,-71167.834,-52790.992,-0.501356962359,-2.480017557970,-1.340076499603
5839.591,EarthOrbit,-30476.012173842,-29540.480900784,-16014.981575033,-383636.489,-71377.033,-52901.742,-0.469587519012,-2.449472186308,-1.323515154800
6079.591,EarthOrbit,-30585.007791261,-30124.742998100,-16330.667358537,-383591.939,-71586.230,-53012.490,-0.438881608031,-2.419466898900,-1.307247747007
6319.591,EarthOrbit,-30686.755804809,-30701.866576060,-16642.483111329,-383547.037,-71795.362,-53123.190,-0.409181576999,-2.389981192103,-1.291263079027
