t_sec,phase,orion_x,orion_y,orion_z,moon_x,moon_y,moon_z,orion_vx,orion_vy,orion_vz
1201.386,parking,6623.037,-1407.770,0.000,-207847.945,323361.395,0.000,1.59522,7.50493,0.00000
1224.490,parking,6657.619,-1233.917,0.000,-207867.830,323348.612,0.000,1.39822,7.54412,0.00000
1247.593,parking,6687.638,-1059.218,0.000,-207887.715,323335.828,0.000,1.20026,7.57813,0.00000
1270.697,parking,6713.073,-883.793,0.000,-207907.600,323323.043,0.000,1.00147,7.60695,0.00000
1293.800,parking,6733.908,-707.762,0.000,-207927.483,323310.256,0.000,0.80200,7.63056,0.00000
1316.904,parking,6750.127,-531.247,0.000,-207947.366,323297.468,0.000,0.60198,7.64894,0.00000
1340.007,parking,6761.721,-354.367,0.000,-207967.248,323284.679,0.000,0.40155,7.66208,0.00000
1363.111,parking,6768.680,-177.244,0.000,-207987.129,323271.889,0.000,0.20085,7.66997,0.00000
1386.215,TLI,6771.000,0.000,0.000,-208007.009,323259.097,0.000,0.00000,10.76303,0.00000
1386.215,outbound,6771.000,0.000,0.000,-208007.009,323259.097,0.000,0.00000,10.76303,0.00000
1474.544,outbound,6737.193,949.117,0.000,-208083.009,323210.182,0.000,-0.76300,10.70955,0.00000
1562.874,outbound,6637.061,1888.935,0.000,-208158.997,323161.248,0.000,-1.49720,10.55413,0.00000
1651.204,outbound,6474.269,2811.004,0.000,-208234.973,323112.296,0.000,-2.17831,10.31055,0.00000
1739.534,outbound,6254.308,3708.367,0.000,-208310.938,323063.327,0.000,-2.78956,9.99820,0.00000
1827.864,outbound,5983.780,4575.883,0.000,-208386.892,323014.339,0.000,-3.32250,9.63826,0.00000
1916.193,outbound,5669.702,5410.243,0.000,-208462.834,322965.334,0.000,-3.77595,9.25054,0.00000
2004.523,outbound,5318.945,6209.754,0.000,-208538.764,322916.311,0.000,-4.15401,8.85161,0.00000
2092.853,outbound,4937.865,6974.012,0.000,-208614.683,322867.270,0.000,-4.46390,8.45413,0.00000
2181.183,outbound,4532.108,7703.564,0.000,-208690.590,322818.211,0.000,-4.71422,8.06696,0.00000
2269.513,outbound,4106.547,8399.593,0.000,-208766.486,322769.135,0.000,-4.91373,7.69584,0.00000
2357.843,outbound,3665.304,9063.679,0.000,-208842.370,322720.040,0.000,-5.07062,7.34406,0.00000
2446.172,outbound,3211.812,9697.608,0.000,-208918.243,322670.928,0.000,-5.19218,7.01316,0.00000
2534.502,outbound,2748.909,10303.247,0.000,-208994.104,322621.798,0.000,-5.28469,6.70349,0.00000
2622.832,outbound,2278.920,10882.457,0.000,-209069.954,322572.650,0.000,-5.35342,6.41461,0.00000
2711.162,outbound,1803.745,11437.036,0.000,-209145.792,322523.484,0.000,-5.40277,6.14562,0.00000
2799.492,outbound,1324.933,11968.691,0.000,-209221.618,322474.300,0.000,-5.43634,5.89535,0.00000
2887.821,outbound,843.740,12479.020,0.000,-209297.433,322425.099,0.000,-5.45709,5.66252,0.00000
2976.151,outbound,361.191,12969.505,0.000,-209373.237,322375.880,0.000,-5.46743,5.44582,0.00000
3064.481,outbound,-121.886,13441.514,0.000,-209449.028,322326.643,0.000,-5.46933,5.24397,0.00000
3152.811,outbound,-604.818,13896.304,0.000,-209524.809,322277.388,0.000,-5.46438,5.05574,0.00000
3241.141,outbound,-1087.059,14335.026,0.000,-209600.577,322228.115,0.000,-5.45390,4.87999,0.00000
3329.470,outbound,-1568.170,14758.737,0.000,-209676.334,322178.824,0.000,-5.43894,4.71567,0.00000
3417.800,outbound,-2047.795,15168.402,0.000,-209752.080,322129.516,0.000,-5.42039,4.56181,0.00000
3506.130,outbound,-2525.649,15564.906,0.000,-209827.814,322080.190,0.000,-5.39895,4.41752,0.00000
3594.460,outbound,-3001.504,15949.059,0.000,-209903.536,322030.846,0.000,-5.37521,4.28201,0.00000
3682.790,outbound,-3475.178,16321.602,0.000,-209979.246,321981.484,0.000,-5.34965,4.15455,0.00000
3771.120,outbound,-3946.529,16683.218,0.000,-210054.945,321932.104,0.000,-5.32267,4.03449,0.00000
3859.449,outbound,-4415.447,17034.533,0.000,-210130.633,321882.707,0.000,-5.29460,3.92122,0.00000
3947.779,outbound,-4881.847,17376.123,0.000,-210206.309,321833.292,0.000,-5.26570,3.81420,0.00000
4036.109,outbound,-5345.666,17708.519,0.000,-210281.973,321783.859,0.000,-5.23620,3.71297,0.00000
4124.439,outbound,-5806.860,18032.211,0.000,-210357.625,321734.408,0.000,-5.20629,3.61706,0.00000
4212.769,outbound,-6265.399,18347.652,0.000,-210433.266,321684.940,0.000,-5.17611,3.52608,0.00000
4301.098,outbound,-6721.265,18655.261,0.000,-210508.896,321635.453,0.000,-5.14579,3.43967,0.00000
4389.428,outbound,-7174.452,18955.427,0.000,-210584.513,321585.949,0.000,-5.11544,3.35749,0.00000
4477.758,outbound,-7624.959,19248.510,0.000,-210660.119,321536.427,0.000,-5.08514,3.27925,0.00000
4566.088,outbound,-8072.794,19534.846,0.000,-210735.714,321486.888,0.000,-5.05496,3.20468,0.00000
4654.418,outbound,-8517.972,19814.748,0.000,-210811.296,321437.330,0.000,-5.02497,3.13352,0.00000
4742.747,outbound,-8960.510,20088.506,0.000,-210886.868,321387.755,0.000,-4.99520,3.06554,0.00000
4831.077,outbound,-9400.430,20356.393,0.000,-210962.427,321338.162,0.000,-4.96570,3.00054,0.00000
4919.407,outbound,-9837.757,20618.663,0.000,-211037.975,321288.551,0.000,-4.93649,2.93833,0.00000
5007.737,outbound,-10272.518,20875.554,0.000,-211113.511,321238.923,0.000,-4.90761,2.87872,0.00000
5096.067,outbound,-10704.743,21127.289,0.000,-211189.035,321189.277,0.000,-4.87906,2.82156,0.00000
5184.397,outbound,-11134.462,21374.078,0.000,-211264.548,321139.613,0.000,-4.85088,2.76670,0.00000
5272.726,outbound,-11561.708,21616.117,0.000,-211340.049,321089.931,0.000,-4.82306,2.71400,0.00000
5361.056,outbound,-11986.513,21853.593,0.000,-211415.538,321040.231,0.000,-4.79562,2.66334,0.00000
5449.386,outbound,-12408.911,22086.678,0.000,-211491.016,320990.514,0.000,-4.76856,2.61459,0.00000
5537.716,outbound,-12828.936,22315.539,0.000,-211566.482,320940.779,0.000,-4.74188,2.56766,0.00000
5626.046,outbound,-13246.622,22540.330,0.000,-211641.936,320891.026,0.000,-4.71559,2.52243,0.00000
5714.375,outbound,-13662.002,22761.198,0.000,-211717.379,320841.256,0.000,-4.68969,2.47882,0.00000
5802.705,outbound,-14075.112,22978.282,0.000,-211792.810,320791.468,0.000,-4.66417,2.43673,0.00000
5891.035,outbound,-14485.984,23191.713,0.000,-211868.229,320741.662,0.000,-4.63904,2.39610,0.00000
5979.365,outbound,-14894.653,23401.617,0.000,-211943.636,320691.838,0.000,-4.61428,2.35684,0.00000
6067.695,outbound,-15301.153,23608.110,0.000,-212019.032,320641.997,0.000,-4.58990,2.31888,0.00000
6156.025,outbound,-15705.515,23811.306,0.000,-212094.416,320592.137,0.000,-4.56590,2.28217,0.00000
6244.354,outbound,-16107.773,24011.311,0.000,-212169.789,320542.261,0.000,-4.54225,2.24662,0.00000
6332.684,outbound,-16507.958,24208.227,0.000,-212245.149,320492.366,0.000,-4.51897,2.21220,0.00000
6421.014,outbound,-16906.103,24402.150,0.000,-212320.498,320442.454,0.000,-4.49605,2.17885,0.00000
6509.344,outbound,-17302.239,24593.172,0.000,-212395.835,320392.524,0.000,-4.47347,2.14651,0.00000
6597.674,outbound,-17696.395,24781.381,0.000,-212471.161,320342.576,0.000,-4.45124,2.11515,0.00000
6686.003,outbound,-18088.603,24966.860,0.000,-212546.474,320292.610,0.000,-4.42934,2.08471,0.00000
6774.333,outbound,-18478.891,25149.690,0.000,-212621.776,320242.627,0.000,-4.40778,2.05515,0.00000
6862.663,outbound,-18867.288,25329.947,0.000,-212697.066,320192.626,0.000,-4.38654,2.02644,0.00000
6950.993,outbound,-19253.824,25507.704,0.000,-212772.344,320142.608,0.000,-4.36561,1.99853,0.00000
7039.323,outbound,-19638.525,25683.030,0.000,-212847.611,320092.572,0.000,-4.34500,1.97140,0.00000
7127.652,outbound,-20021.419,25855.993,0.000,-212922.866,320042.518,0.000,-4.32469,1.94502,0.00000
7215.982,outbound,-20402.533,26026.657,0.000,-212998.109,319992.446,0.000,-4.30469,1.91934,0.00000
7304.312,outbound,-20781.892,26195.082,0.000,-213073.340,319942.357,0.000,-4.28497,1.89434,0.00000
7392.642,outbound,-21159.523,26361.329,0.000,-213148.560,319892.250,0.000,-4.26555,1.86999,0.00000
7480.972,outbound,-21535.450,26525.453,0.000,-213223.767,319842.125,0.000,-4.24640,1.84628,0.00000
7569.302,outbound,-21909.698,26687.509,0.000,-213298.963,319791.983,0.000,-4.22753,1.82316,0.00000
7657.631,outbound,-22282.291,26847.550,0.000,-213374.148,319741.823,0.000,-4.20893,1.80063,0.00000
7745.961,outbound,-22653.253,27005.624,0.000,-213449.320,319691.645,0.000,-4.19059,1.77865,0.00000
7834.291,outbound,-23022.606,27161.781,0.000,-213524.480,319641.450,0.000,-4.17250,1.75721,0.00000
7922.621,outbound,-23390.374,27316.066,0.000,-213599.629,319591.236,0.000,-4.15467,1.73628,0.00000
8010.951,outbound,-23756.577,27468.526,0.000,-213674.766,319541.006,0.000,-4.13709,1.71585,0.00000
8099.280,outbound,-24121.238,27619.201,0.000,-213749.891,319490.757,0.000,-4.11975,1.69590,0.00000
8187.610,outbound,-24484.378,27768.135,0.000,-213825.005,319440.491,0.000,-4.10265,1.67640,0.00000
8275.940,outbound,-24846.017,27915.368,0.000,-213900.106,319390.207,0.000,-4.08577,1.65736,0.00000
8364.270,outbound,-25206.176,28060.936,0.000,-213975.196,319339.906,0.000,-4.06913,1.63874,0.00000
8452.600,outbound,-25564.874,28204.879,0.000,-214050.274,319289.587,0.000,-4.05270,1.62054,0.00000
8540.930,outbound,-25922.131,28347.232,0.000,-214125.340,319239.250,0.000,-4.03650,1.60274,0.00000
8629.259,outbound,-26277.966,28488.030,0.000,-214200.394,319188.896,0.000,-4.02050,1.58532,0.00000
8717.589,outbound,-26632.397,28627.306,0.000,-214275.436,319138.524,0.000,-4.00471,1.56828,0.00000
8805.919,outbound,-26985.443,28765.093,0.000,-214350.467,319088.134,0.000,-3.98913,1.55160,0.00000
8894.249,outbound,-27337.121,28901.422,0.000,-214425.485,319037.727,0.000,-3.97375,1.53527,0.00000
8982.579,outbound,-27687.449,29036.324,0.000,-214500.492,318987.302,0.000,-3.95856,1.51928,0.00000
9070.908,outbound,-28036.444,29169.828,0.000,-214575.487,318936.860,0.000,-3.94356,1.50362,0.00000
9159.238,outbound,-28384.123,29301.962,0.000,-214650.470,318886.399,0.000,-3.92875,1.48827,0.00000
9247.568,outbound,-28730.501,29432.754,0.000,-214725.441,318835.922,0.000,-3.91412,1.47323,0.00000
9335.898,outbound,-29075.596,29562.231,0.000,-214800.400,318785.426,0.000,-3.89968,1.45849,0.00000
9424.228,outbound,-29419.422,29690.418,0.000,-214875.348,318734.913,0.000,-3.88541,1.44403,0.00000
9512.557,outbound,-29761.995,29817.341,0.000,-214950.283,318684.383,0.000,-3.87131,1.42986,0.00000
9600.887,outbound,-30103.331,29943.024,0.000,-215025.207,318633.834,0.000,-3.85738,1.41596,0.00000
9689.217,outbound,-30443.444,30067.491,0.000,-215100.119,318583.268,0.000,-3.84362,1.40232,0.00000
9777.547,outbound,-30782.349,30190.765,0.000,-215175.019,318532.685,0.000,-3.83002,1.38893,0.00000
9865.877,outbound,-31120.059,30312.867,0.000,-215249.907,318482.084,0.000,-3.81658,1.37580,0.00000
9954.207,outbound,-31456.589,30433.820,0.000,-215324.783,318431.465,0.000,-3.80330,1.36290,0.00000
10042.536,outbound,-31791.952,30553.644,0.000,-215399.647,318380.829,0.000,-3.79017,1.35024,0.00000
10130.866,outbound,-32126.163,30672.360,0.000,-215474.499,318330.175,0.000,-3.77719,1.33781,0.00000
10219.196,outbound,-32459.233,30789.988,0.000,-215549.340,318279.503,0.000,-3.76435,1.32560,0.00000
10307.526,outbound,-32791.177,30906.546,0.000,-215624.168,318228.814,0.000,-3.75167,1.31361,0.00000
10395.856,outbound,-33122.005,31022.055,0.000,-215698.985,318178.107,0.000,-3.73912,1.30182,0.00000
10484.185,outbound,-33451.732,31136.531,0.000,-215773.789,318127.383,0.000,-3.72671,1.29024,0.00000
10572.515,outbound,-33780.369,31249.993,0.000,-215848.582,318076.641,0.000,-3.71444,1.27885,0.00000
10660.845,outbound,-34107.929,31362.458,0.000,-215923.363,318025.882,0.000,-3.70231,1.26766,0.00000
10749.175,outbound,-34434.422,31473.943,0.000,-215998.132,317975.105,0.000,-3.69030,1.25666,0.00000
10837.505,outbound,-34759.860,31584.464,0.000,-216072.889,317924.310,0.000,-3.67843,1.24584,0.00000
