time,x,y,z
7380,-166905820.16172823,346274179.22290635,0.0
7440,-166960855.59826893,346247646.4876786,0.0
7500,-167015886.81694585,346221105.00533825,0.0
7560,-167070913.81636876,346194554.77655584,0.0
7620,-167125936.59514755,346167995.8020021,0.0
7680,-167180955.15189222,346141428.08234787,0.0
7740,-167235969.48521283,346114851.61826444,0.0
7800,-167290979.5937196,346088266.41042316,0.0
7860,-167345985.4760228,346061672.45949566,0.0
7920,-167400987.13073286,346035069.76615375,0.0
7980,-167455984.5564603,346008458.3310695,0.0
8040,-167510977.7518157,345981838.1549152,0.0
8100,-167565966.71540985,345955209.2383633,0.0
8160,-167620951.44585356,345928571.58208656,0.0
8220,-167675931.94175777,345901925.18675786,0.0
8280,-167730908.20173353,345875270.0530504,0.0
8340,-167785880.22439203,345848606.1816375,0.0
8400,-167840848.00834447,345821933.57319283,0.0
8460,-167895811.55220228,345795252.2283902,0.0
8520,-167950770.85457692,345768562.1479036,0.0
8580,-168005725.91407996,345741863.33240736,0.0
8640,-168060676.72932312,345715155.7825759,0.0
8700,-168115623.29891816,345688439.49908394,0.0
8760,-168170565.621477,345661714.4826064,0.0
8820,-168225503.6956117,345634980.7338185,0.0
8880,-168280437.51993433,345608238.25339544,0.0
8940,-168335367.09305713,345581487.04201293,0.0
9000,-168390292.41359246,345554727.10034674,0.0
9060,-168445213.48015276,345527958.4290729,0.0
9120,-168500130.29135054,345501181.0288677,0.0
9180,-168555042.8457985,345474394.90040755,0.0
9240,-168609951.1421094,345447600.04436916,0.0
9300,-168664855.1788961,345420796.4614294,0.0
9360,-168719754.9547716,345393984.1522654,0.0
9420,-168774650.46834898,345367163.1175546,0.0
9480,-168829541.71824142,345340333.35797447,0.0
9540,-168884428.70306227,345313494.87420285,0.0
9600,-168939311.4214249,345286647.66691774,0.0
9660,-168994189.87194285,345259791.73679733,0.0
9720,-169049064.05322975,345232927.0845201,0.0
9780,-169103933.9638993,345206053.7107647,0.0
9840,-169158799.6025654,345179171.6162101,0.0
9900,-169213660.96784198,345152280.8015353,0.0
9960,-169268518.05834308,345125381.26741976,0.0
10020,-169323370.8726829,345098473.01454294,0.0
10080,-169378219.40947568,345071556.0435846,0.0
10140,-169433063.66733584,345044630.3552247,0.0
10200,-169487903.64487785,345017695.95014364,0.0
10260,-169542739.3407163,344990752.8290217,0.0
10320,-169597570.75346592,344963800.9925395,0.0
10380,-169652397.88174152,344936840.44137806,0.0
10440,-169707220.72415802,344909871.17621833,0.0
10500,-169762039.27933046,344882893.1977417,0.0
10560,-169816853.54587397,344855906.50662965,0.0
10620,-169871663.5224038,344828911.10356396,0.0
10680,-169926469.20753533,344801906.98922664,0.0
10740,-169981270.599884,344774894.16429985,0.0
10800,-170036067.69806543,344747872.629466,0.0
10860,-170090860.50069526,344720842.38540775,0.0
10920,-170145649.0063893,344693803.4328079,0.0
10980,-170200433.21376342,344666755.77234966,0.0
11040,-170255213.12143365,344639699.4047162,0.0
11100,-170309988.7280161,344612634.330591,0.0
11160,-170364760.03212702,344585560.5506579,0.0
11220,-170419527.03238273,344558478.0656008,0.0
11280,-170474289.72739968,344531386.8761039,0.0
11340,-170529048.11579442,344504286.98285156,0.0
11400,-170583802.1961836,344477178.38652843,0.0
11460,-170638551.967184,344450061.0878193,0.0
11520,-170693297.4274125,344422935.0874092,0.0
11580,-170748038.5754861,344395800.38598347,0.0
11640,-170802775.41002187,344368656.9842276,0.0
11700,-170857507.929637,344341504.8828273,0.0
11760,-170912236.13294888,344314344.08246845,0.0
11820,-170966960.01857486,344287174.5838373,0.0
11880,-171021679.5851325,344259996.3876201,0.0
11940,-171076394.83123946,344232809.4945035,0.0
12000,-171131105.75551346,344205613.9051743,0.0
12060,-171185812.35657236,344178409.6203196,0.0
12120,-171240514.63303414,344151196.6406266,0.0
12180,-171295212.5835169,344123974.96678275,0.0
12240,-171349906.20663878,344096744.59947574,0.0
12300,-171404595.50101814,344069505.53939354,0.0
12360,-171459280.46527332,344042257.78722423,0.0
12420,-171513961.09802288,344015001.3436561,0.0
12480,-171568637.39788544,343987736.2093778,0.0
12540,-171623309.36347973,343960462.38507813,0.0
12600,-171677976.9934246,343933179.8714461,0.0
12660,-171732640.28633898,343905888.66917086,0.0
12720,-171787299.24084195,343878588.7789419,0.0
12780,-171841953.8555527,343851280.2014489,0.0
12840,-171896604.1290905,343823962.93738174,0.0
12900,-171951250.06007472,343796636.9874305,0.0
12960,-172005891.6471249,343769302.35228556,0.0
13020,-172060528.8888606,343741959.0326374,0.0
13080,-172115161.7839016,343714607.02917683,0.0
13140,-172169790.3308677,343687246.3425948,0.0
13200,-172224414.52837887,343659876.9735825,0.0
13260,-172279034.37505513,343632498.92283136,0.0
13320,-172333649.86951664,343605112.19103307,0.0
13380,-172388261.0103837,343577716.7788794,0.0
13440,-172442867.79627666,343550312.6870625,0.0
13500,-172497470.22581604,343522899.91627467,0.0
13560,-172552068.2976224,343495478.4672084,0.0
13620,-172606662.0103165,343468048.34055644,0.0
13680,-172661251.36251912,343440609.53701174,0.0
13740,-172715836.3528512,343413162.0572675,0.0
13800,-172770416.97993383,343385705.90201706,0.0
13860,-172824993.2423881,343358241.0719541,0.0
13920,-172879565.1388353,343330767.5677724,0.0
13980,-172934132.6678968,343303285.39016604,0.0
14040,-172988695.82819408,343275794.53982925,0.0
14100,-173043254.61834875,343248295.0174566,0.0
14160,-173097809.03698248,343220786.8237427,0.0
14220,-173152359.0827171,343193269.95938253,0.0
14280,-173206904.75417453,343165744.42507124,0.0
14340,-173261446.04997683,343138210.2215042,0.0
14400,-173315982.96874613,343110667.349377,0.0
14460,-173370515.50910467,343083115.8093854,0.0
14520,-173425043.66967484,343055555.6022255,0.0
14580,-173479567.4490791,343027986.72859347,0.0
14640,-173534086.84594005,343000409.1891858,0.0
14700,-173588601.8588804,342972822.9846992,0.0
14760,-173643112.4865229,342945228.1158305,0.0
14820,-173697618.72749054,342917624.58327687,0.0
14880,-173752120.58040634,342890012.3877356,0.0
14940,-173806618.0438934,342862391.5299043,0.0
15000,-173861111.116575,342834762.01048076,0.0
15060,-173915599.79707453,342807123.8301629,0.0
15120,-173970084.08401543,342779476.98964894,0.0
15180,-174024563.9760213,342751821.4896374,0.0
15240,-174079039.4717158,342724157.3308268,0.0
15300,-174133510.5697228,342696484.51391613,0.0
15360,-174187977.26866618,342668803.0396044,0.0
15420,-174242439.56716996,342641112.908591,0.0
15480,-174296897.4638583,342613414.1215753,0.0
15540,-174351350.95735547,342585706.67925715,0.0
15600,-174405800.0462858,342557990.58233654,0.0
15660,-174460244.7292738,342530265.8315136,0.0
15720,-174514685.00494403,342502532.4274887,0.0
15780,-174569120.87192118,342474790.3709625,0.0
15840,-174623552.3288301,342447039.66263586,0.0
15900,-174677979.37429565,342419280.3032098,0.0
15960,-174732402.00694293,342391512.29338557,0.0
16020,-174786820.22539702,342363735.6338647,0.0
16080,-174841234.0282832,342335950.3253489,0.0
16140,-174895643.41422686,342308156.3685401,0.0
16200,-174950048.38185346,342280353.7641404,0.0
16260,-175004448.9297886,342252542.51285225,0.0
16320,-175058845.05665794,342224722.6153782,0.0
16380,-175113236.76108733,342196894.072421,0.0
16440,-175167624.0417027,342169056.8846837,0.0
16500,-175222006.89713004,342141211.0528696,0.0
16560,-175276385.32599556,342113356.57768214,0.0
16620,-175330759.3269255,342085493.4598249,0.0
16680,-175385128.8985462,342057621.7000019,0.0
16740,-175439494.03948417,342029741.2989172,0.0
16800,-175493854.748366,342001852.25727504,0.0
16860,-175548211.0238184,341973954.5757801,0.0
16920,-175602562.8644682,341946048.2551371,0.0
16980,-175656910.2689423,341918133.296051,0.0
17040,-175711253.23586777,341890209.6992271,0.0
17100,-175765591.76387176,341862277.4653707,0.0
17160,-175819925.85158154,341834336.59518754,0.0
17220,-175874255.49762452,341806387.0893834,0.0
17280,-175928580.70062813,341778428.9486644,0.0
17340,-175982901.45922002,341750462.1737369,0.0
17400,-176037217.7720279,341722486.76530725,0.0
17460,-176091529.6376796,341694502.7240823,0.0
17520,-176145837.05480304,341666510.0507689,0.0
17580,-176200140.0220263,341638508.7460743,0.0
17640,-176254438.53797752,341610498.8107059,0.0
17700,-176308732.60128498,341582480.2453713,0.0
17760,-176363022.2105771,341554453.05077827,0.0
17820,-176417307.36448237,341526417.2276349,0.0
17880,-176471588.0616294,341498372.7766494,0.0
17940,-176525864.30064693,341470319.6985303,0.0
18000,-176580136.08016378,341442257.99398625,0.0
18060,-176634403.39880893,341414187.66372615,0.0
18120,-176688666.25521144,341386108.70845914,0.0
18180,-176742924.64800048,341358021.1288946,0.0
18240,-176797178.57580534,341329924.9257421,0.0
18300,-176851428.03725544,341301820.09971136,0.0
18360,-176905673.0309803,341273706.65151244,0.0
18420,-176959913.55560952,341245584.58185554,0.0
18480,-177014149.6097729,341217453.89145106,0.0
18540,-177068381.19210023,341189314.58100975,0.0
18600,-177122608.30122152,341161166.6512424,0.0
18660,-177176830.93576685,341133010.1028601,0.0
18720,-177231049.0943664,341104844.93657416,0.0
18780,-177285262.7756505,341076671.15309614,0.0
18840,-177339471.97824958,341048488.75313777,0.0
18900,-177393676.70079413,341020297.737411,0.0
18960,-177447876.94191483,340992098.10662806,0.0
19020,-177502072.70024243,340963889.8615013,0.0
19080,-177556263.97440782,340935673.0027433,0.0
19140,-177610450.763042,340907447.53106695,0.0
19200,-177664633.06477603,340879213.4471853,0.0
19260,-177718810.87824115,340850970.7518115,0.0
19320,-177772984.2020687,340822719.44565916,0.0
19380,-177827153.0348901,340794459.52944195,0.0
19440,-177881317.3753369,340766191.00387377,0.0
19500,-177935477.22204077,340737913.8696688,0.0
19560,-177989632.57363352,340709628.1275413,0.0
19620,-178043783.42874703,340681333.77820593,0.0
19680,-178097929.7860133,340653030.82237744,0.0
19740,-178152071.64406446,340624719.26077086,0.0
19800,-178206209.00153273,340596399.0941014,0.0
19860,-178260341.85705048,340568070.32308453,0.0
19920,-178314470.20925015,340539732.94843584,0.0
19980,-178368594.05676436,340511386.97087127,0.0
20040,-178422713.39822578,340483032.3911069,0.0
20100,-178476828.2322672,340454669.209859,0.0
20160,-178530938.55752155,340426297.42784417,0.0
20220,-178585044.37262186,340397917.04577905,0.0
20280,-178639145.67620128,340369528.0643807,0.0
20340,-178693242.46689308,340341130.48436624,0.0
20400,-178747334.74333063,340312724.3064531,0.0
20460,-178801422.5041474,340284309.5313589,0.0
20520,-178855505.74797705,340255886.1598014,0.0
20580,-178909584.47345322,340227454.19249874,0.0
20640,-178963658.6792098,340199013.63016915,0.0
20700,-179017728.3638807,340170564.4735311,0.0
20760,-179071793.52609998,340142106.7233033,0.0
20820,-179125854.16450185,340113640.3802047,0.0
20880,-179179910.27772057,340085165.44495434,0.0
20940,-179233961.86439055,340056681.91827166,0.0
21000,-179288008.9231463,340028189.8008762,0.0
21060,-179342051.45262247,339999689.09348774,0.0
21120,-179396089.45145378,339971179.79682624,0.0
21180,-179450122.9182751,339942661.911612,0.0
21240,-179504151.8517214,339914135.4385654,0.0
21300,-179558176.25042778,339885600.37840706,0.0
21360,-179612196.11302945,339857056.73185796,0.0
21420,-179666211.4381617,339828504.4996391,0.0
21480,-179720222.22445998,339799943.6824718,0.0
21540,-179774228.47055984,339771374.2810776,0.0
21600,-179828230.17509693,339742796.2961783,0.0
