time,x,y,z
7920,-28362024.096136615,29804917.264563624,0.0
7980,-28595598.027179185,29893764.346272,0.0
8040,-28828592.428018298,29982005.66193078,0.0
8100,-29061012.00586537,30069649.230096593,0.0
8160,-29292861.405478947,30156702.904777978,0.0
8220,-29524145.210190654,30243174.379966456,0.0
8280,-29754867.942915745,30329071.19401213,0.0
8340,-29985034.067148127,30414400.733850162,0.0
8400,-30214647.987939827,30499170.239084177,0.0
8460,-30443714.052864876,30583386.805932403,0.0
8520,-30672236.552967593,30667057.391041994,0.0
8580,-30900219.723695356,30750188.81517681,0.0
8640,-31127667.74581585,30832787.76678367,0.0
8700,-31354584.746318907,30914860.805441808,0.0
8760,-31580974.799303047,30996414.365200162,0.0
8820,-31806841.926846802,31077454.757806774,0.0
8880,-32032190.09986497,31157988.175834507,0.0
8940,-32257023.23894993,31238020.695707038,0.0
9000,-32481345.21519818,31317558.28062892,0.0
9060,-32705159.85102229,31396606.78342334,0.0
9120,-32928470.920948338,31475171.94928106,0.0
9180,-33151282.152399175,31553259.418423824,0.0
9240,-33373597.226463534,31630874.728685457,0.0
9300,-33595419.7786513,31708023.31801365,0.0
9360,-33816753.39963506,31784710.526895355,0.0
9420,-34037601.63597823,31860941.600708604,0.0
9480,-34257967.990849786,31936721.692003347,0.0
9540,-34477855.924726024,32012055.862713963,0.0
9600,-34697268.8560794,32086949.08630581,0.0
9660,-34916210.1620547,32161406.249858197,0.0
9720,-35134683.179132804,32235432.156086035,0.0
9780,-35352691.203782134,32309031.525302306,0.0
9840,-35570237.493098155,32382208.997323435,0.0
9900,-35787325.265430994,32454969.133319534,0.0
9960,-36003957.70100147,32527316.417611457,0.0
10020,-36220137.94250573,32599255.25941645,0.0
10080,-36435869.09570865,32670789.994544193,0.0
10140,-36651154.23002628,32741924.887044907,0.0
10200,-36865996.37909747,32812664.13081112,0.0
10260,-37080398.54134492,32883011.851134714,0.0
10320,-37294363.68052584,32952972.106220666,0.0
10380,-37507894.726272434,33022548.888659004,0.0
10440,-37720994.57462232,33091746.12685629,0.0
10500,-37933666.08853921,33160567.686428003,0.0
10560,-38145912.09842396,33229017.371553093,0.0
10620,-38357735.40261612,33297098.926291924,0.0
10680,-38569138.76788635,33364816.035868805,0.0
10740,-38780124.92991964,33432172.32792023,0.0
10800,-38990696.59378976,33499171.37370995,0.0
10860,-39200856.43442491,33565816.68931192,0.0
10920,-39410607.09706485,33632111.73676211,0.0
10980,-39619951.19770969,33698059.925180204,0.0
11040,-39828891.3235604,33763664.61186215,0.0
11100,-40037430.03345137,33828929.10334437,0.0
11160,-40245569.85827501,33893856.65644059,0.0
11220,-40453313.30139865,33958450.47925215,0.0
11280,-40660662.83907389,34022713.73215254,0.0
11340,-40867620.9208385,34086649.528746985,0.0
11400,-41074189.96991106,34150260.936807856,0.0
11460,-41280372.383578494,34213550.979186594,0.0
11520,-41486170.5335766,34276522.63470288,0.0
11580,-41691586.76646374,34339178.83901174,0.0
11640,-41896623.403987855,34401522.485449195,0.0
11700,-42101282.74344687,34463556.425857164,0.0
11760,-42305567.05804272,34525283.47138818,0.0
11820,-42509478.59722899,34586706.393290505,0.0
11880,-42713019.58705248,34647827.92367424,0.0
11940,-42916192.23048861,34708650.75625901,0.0
12000,-43118998.70777099,34769177.54710366,0.0
12060,-43321441.17671507,34829410.9153186,0.0
12120,-43523521.77303621,34889353.44376121,0.0
12180,-43725242.61066208,34949007.6797148,0.0
12240,-43926605.78203963,35008376.13555164,0.0
12300,-44127613.358436674,35067461.289380446,0.0
12360,-44328267.39023827,35126265.58567881,0.0
12420,-44528569.90723789,35184791.435910925,0.0
12480,-44728522.91892359,35243041.21913114,0.0
12540,-44928128.414759204,35301017.28257359,0.0
12600,-45127388.364460744,35358721.94222836,0.0
12660,-45326304.71826798,35416157.48340459,0.0
12720,-45524879.4072114,35473326.16128078,0.0
12780,-45723114.34337464,35530230.20144272,0.0
12840,-45921011.42015238,35586871.80040935,0.0
12900,-46118572.5125039,35643253.12614688,0.0
12960,-46315799.47720232,35699376.318571515,0.0
13020,-46512694.153079644,35755243.490040965,0.0
13080,-46709258.36126765,35810856.72583524,0.0
13140,-46905493.90543474,35866218.08462685,0.0
13200,-47101402.57201886,35921329.59894076,0.0
13260,-47296986.13045646,35976193.27560431,0.0
13320,-47492246.33340769,36030811.09618746,0.0
13380,-47687184.91697784,36085185.01743353,0.0
13440,-47881803.6009351,36139316.97168072,0.0
13500,-48076104.08892477,36193208.8672746,0.0
13560,-48270088.06867986,36246862.58897184,0.0
13620,-48463757.21222832,36300279.99833546,0.0
13680,-48657113.176096804,36353462.93412165,0.0
13740,-48850157.60151117,36406413.2126586,0.0
13800,-49042892.11459368,36459132.62821727,0.0
13860,-49235318.32655699,36511622.9533746,0.0
13920,-49427437.83389505,36563885.939369105,0.0
13980,-49619252.218570866,36615923.31644915,0.0
14040,-49810763.04820129,36667736.79421412,0.0
14100,-50001971.876238815,36719328.061948575,0.0
14160,-50192880.24215047,36770698.788949594,0.0
14220,-50383489.67159388,36821850.624847524,0.0
14280,-50573801.67659052,36872785.19992022,0.0
14340,-50763817.755696185,36923504.125401,0.0
14400,-50953539.39416886,36974008.99378038,0.0
14460,-51142968.06413384,37024301.37910187,0.0
14520,-51332105.224746294,37074382.837251835,0.0
14580,-51520952.322351344,37124254.90624362,0.0
14640,-51709510.79064155,37173919.106496155,0.0
14700,-51897782.05081201,37223376.941107,0.0
14760,-52085767.51171302,37272629.89612013,0.0
14820,-52273468.570000365,37321679.44078848,0.0
14880,-52460886.61028335,37370527.02783137,0.0
14940,-52648023.005270496,37419174.09368705,0.0
15000,-52834879.11591299,37467622.058760285,0.0
15060,-53021456.291546,37515872.32766529,0.0
15120,-53207755.870027825,37563926.289463975,0.0
15180,-53393779.17787686,37611785.31789967,0.0
15240,-53579527.53040658,37659450.771626465,0.0
15300,-53765002.23185842,37706923.99443419,0.0
15360,-53950204.57553269,37754206.31546919,0.0
15420,-54135135.843917504,37801299.04945095,0.0
15480,-54319797.30881578,37848203.49688472,0.0
15540,-54504190.23147035,37894920.94427016,0.0
15600,-54688315.86268721,37941452.664306134,0.0
15660,-54872175.44295694,37987799.91609178,0.0
15720,-55055770.20257432,38033963.945323795,0.0
15780,-55239101.36175618,38079945.98449022,0.0
15840,-55422170.13075754,38125747.25306063,0.0
15900,-55604977.709986,38171368.95767288,0.0
15960,-55787525.29011453,38216812.29231651,0.0
16020,-55969814.052192524,38262078.43851282,0.0
16080,-56151845.16775533,38307168.56549171,0.0
16140,-56333619.79893211,38352083.83036541,0.0
16200,-56515139.09855224,38396825.378299035,0.0
16260,-56696404.21025006,38441394.34267819,0.0
16320,-56877416.268568195,38485791.84527357,0.0
16380,-57058176.399059415,38530018.99640268,0.0
16440,-57238685.71838695,38574076.895088725,0.0
16500,-57418945.334423475,38617966.629216686,0.0
16560,-57598956.34634862,38661689.27568672,0.0
16620,-57778719.844745144,38705245.90056487,0.0
16680,-57958236.91169371,38748637.55923121,0.0
16740,-58137508.62086636,38791865.29652535,0.0
16800,-58316536.03761868,38834930.146889575,0.0
16860,-58495320.21908065,38877833.1345094,0.0
16920,-58673862.21424622,38920575.27345181,0.0
16980,-58852163.0640617,38963157.567801155,0.0
17040,-59030223.801512845,39005581.01179268,0.0
17100,-59208045.45171078,39047846.589943886,0.0
17160,-59385629.03197676,39089955.27718362,0.0
17220,-59562975.55192568,39131908.03897904,0.0
17280,-59740086.01354857,39173705.831460424,0.0
17340,-59916961.41129381,39215349.601543956,0.0
17400,-60093602.73214738,39256840.28705242,0.0
17460,-60270010.955711916,39298178.81683396,0.0
17520,-60446187.054284744,39339366.110878795,0.0
17580,-60622131.992934845,39380403.08043414,0.0
17640,-60797846.72957879,39421290.62811717,0.0
17700,-60973332.21505566,39462029.64802611,0.0
17760,-61148589.39320091,39502621.02584963,0.0
17820,-61323619.20091933,39543065.6389744,0.0
17880,-61498422.56825697,39583364.35659087,0.0
17940,-61673000.418472126,39623518.03979745,0.0
18000,-61847353.66810539,39663527.541702956,0.0
18060,-62021483.22704879,39703393.70752744,0.0
18120,-62195389.99861397,39743117.37470138,0.0
18180,-62369074.87959951,39782699.37296337,0.0
18240,-62542538.76035739,39822140.52445618,0.0
18300,-62715782.524858505,39861441.64382137,0.0
18360,-62888807.05075741,39900603.5382924,0.0
18420,-63061613.20945617,39939627.00778623,0.0
18480,-63234201.866167404,39978512.84499358,0.0
18540,-63406573.87997652,40017261.83546771,0.0
18600,-63578730.10390311,40055874.757711895,0.0
18660,-63750671.384961605,40094352.38326546,0.0
18720,-63922398.56422113,40132695.476788566,0.0
18780,-64093912.476864584,40170904.79614566,0.0
18840,-64265213.95224698,40208981.09248766,0.0
18900,-64436303.81395304,40246925.11033286,0.0
18960,-64607182.879854076,40284737.58764664,0.0
19020,-64777851.96216409,40322419.255919956,0.0
19080,-64948311.86749525,40359970.84024662,0.0
19140,-65118563.39691264,40397393.05939946,0.0
19200,-65288607.345988266,40434686.625905305,0.0
19260,-65458444.50485446,40471852.24611883,0.0
